,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,1209,1193,1209,1224,1209,1209,1193,1209,1224,1209,1209,1209,1237,1209,1193,1193,1237,1193,1209,1224,1224,1193,1193,1155,1193,1209,1209,1193,1224,1193,1237,1224,1224,1155,1193,1250,1224,1193,1224,1224,1224,1224,1193,1209,1193,1224,1224,1224,1209,1224,1209,1224,1224,1237,1209,1193,1224,1193,1250,1224,1209,1224,1209,1224,1209,1193,1209,1209,1193,1193,1224,1193,1209,1224,1250,1209,1224,1193,1175,1209,1209,1193,1155,1209,1209,1224,1193,1237,1224,1193,1193,1155,1224,1224,1224,1250,1209,1193,1155,1237,1209,1155,1237,1224,1224,1224,1224,1237,1224,1237,1224,1224,1250,1224,1224,1237,1261,1283,1261,1283,1261,1272,1237,1272,1224,1237,1311,1237,1237,1224,1250,1250,1283,1224,1224,1261,1224,1250,1224,1250,1250,1237,1261,1283,1261,1250,1224,1224,1224,1261,1302,1224,1250,1224,1237,1250,1261,1261,1272,1237,1261,1272,1250,1237,1237,1261,1237,1237,1237,1250,1250,1237,1237,1237,1209,1193,1237,1155,1224,1209,1237,1175,1237,1224,1224,1237,1193,1209,1224,1175,1237,1175,1209,1209,1224,1193,1155,1224,1193,1155,1193
1,1224,1224,1209,1209,1237,1155,1209,1224,1224,1224,1237,1237,1209,1193,1193,1237,1224,1193,1224,1224,1237,1155,1155,1193,1209,1209,1224,1155,1155,1209,1250,1209,1224,1224,1209,1224,1250,1224,1224,1224,1237,1224,1193,1209,1193,1224,1209,1155,1193,1224,1209,1224,1224,1209,1209,1193,1209,1237,1237,1175,1193,1237,1224,1237,1155,1193,1193,1224,1224,1209,1209,1209,1209,1224,1224,1237,1209,1209,1155,1224,1261,1224,1193,1237,1237,1224,1224,1224,1237,1209,1155,1155,1224,1209,1224,1193,1209,1209,1224,1237,1237,1193,1224,1224,1224,1224,1224,1224,1224,1155,1237,1224,1250,1209,1250,1261,1272,1250,1209,1272,1224,1283,1272,1272,1272,1250,1250,1283,1250,1250,1224,1261,1261,1224,1224,1272,1250,1250,1209,1250,1261,1237,1209,1237,1224,1237,1250,1261,1250,1261,1250,1272,1293,1250,1224,1250,1272,1261,1283,1272,1272,1209,1237,1261,1293,1261,1237,1209,1237,1261,1237,1237,1261,1261,1261,1224,1224,1224,1224,1224,1224,1209,1250,1224,1237,1209,1224,1209,1224,1175,1224,1224,1193,1209,1224,1193,1193,1224,1193,1209,1224
2,1224,1209,1224,1209,1224,1155,1209,1193,1237,1224,1224,1224,1237,1155,1193,1250,1224,1237,1209,1224,1250,1155,1209,1237,1155,1209,1224,1155,1193,1175,1250,1224,1250,1209,1175,1224,1250,1193,1224,1224,1209,1237,1224,1237,1209,1237,1224,1175,1209,1209,1250,1237,1224,1175,1209,1175,1209,1237,1224,1209,1209,1237,1209,1209,1224,1224,1224,1224,1155,1224,1209,1237,1224,1224,1250,1250,1209,1175,1155,1224,1224,1224,1224,1237,1224,1261,1209,1224,1250,1209,1133,1155,1209,1250,1237,1175,1209,1224,1224,1237,1224,1175,1209,1250,1237,1237,1224,1250,1237,1224,1250,1224,1261,1224,1250,1272,1283,1237,1250,1293,1237,1250,1224,1250,1261,1261,1250,1250,1272,1250,1224,1261,1250,1261,1261,1250,1272,1261,1283,1272,1272,1224,1272,1272,1272,1261,1250,1209,1237,1272,1261,1237,1250,1250,1272,1237,1272,1237,1237,1250,1237,1250,1250,1250,1250,1272,1237,1250,1209,1272,1250,1250,1237,1224,1224,1237,1237,1237,1250,1224,1224,1209,1250,1175,1272,1224,1224,1237,1237,1224,1237,1224,1209,1209,1237,1209,1155,1237,1175,1209,1175
3,1237,1155,1224,1209,1175,1175,1209,1224,1224,1237,1209,1224,1193,1193,1175,1133,1237,1209,1175,1224,1224,1209,1175,1175,1224,1224,1224,1175,1175,1193,1261,1224,1237,1237,1175,1261,1224,1209,1175,1224,1209,1209,1224,1224,1209,1237,1193,1250,1155,1224,1209,1224,1224,1237,1224,1175,1175,1237,1224,1175,1175,1209,1175,1224,1175,1224,1237,1224,1224,1224,1224,1224,1237,1209,1237,1224,1224,1224,1175,1237,1224,1209,1209,1224,1209,1250,1224,1237,1237,1209,1155,1133,1261,1224,1250,1209,1250,1237,1237,1261,1224,1155,1250,1237,1224,1250,1250,1237,1237,1224,1224,1224,1224,1250,1250,1237,1261,1250,1250,1272,1283,1250,1261,1224,1250,1250,1311,1237,1250,1261,1250,1261,1272,1250,1250,1261,1250,1261,1293,1237,1250,1224,1272,1272,1250,1237,1224,1250,1250,1283,1261,1261,1224,1261,1250,1272,1272,1272,1237,1250,1237,1224,1237,1261,1272,1250,1209,1261,1261,1237,1250,1237,1272,1237,1261,1237,1237,1224,1250,1224,1250,1237,1250,1237,1224,1224,1272,1224,1224,1209,1250,1224,1209,1224,1224,1224,1224,1237,1224,1250,1209
4,1237,1209,1175,1209,1209,1155,1155,1224,1193,1224,1237,1224,1224,1224,1175,1209,1224,1224,1175,1237,1237,1133,1175,1224,1175,1209,1250,1175,1224,1224,1224,1224,1224,1224,1209,1224,1175,1224,1224,1237,1224,1237,1224,1224,1175,1209,1224,1237,1209,1250,1237,1224,1224,1209,1237,1209,1224,1224,1209,1155,1209,1224,1175,1237,1209,1175,1224,1209,1155,1175,1224,1237,1209,1224,1237,1175,1175,1175,1193,1209,1237,1250,1155,1224,1224,1250,1224,1224,1250,1209,1209,1175,1237,1237,1224,1155,1237,1224,1224,1261,1209,1224,1224,1250,1224,1224,1175,1250,1237,1209,1237,1237,1250,1224,1237,1272,1250,1261,1224,1250,1250,1272,1261,1261,1261,1283,1272,1250,1293,1250,1209,1272,1272,1250,1250,1250,1272,1272,1237,1283,1237,1237,1250,1261,1237,1250,1224,1224,1250,1283,1293,1237,1250,1237,1237,1237,1283,1272,1283,1250,1224,1224,1272,1272,1237,1250,1224,1250,1224,1261,1250,1224,1237,1224,1209,1250,1250,1250,1250,1224,1237,1224,1250,1250,1224,1237,1209,1224,1237,1224,1250,1224,1209,1209,1209,1250,1224,1224,1175,1237,1293
5,1193,1193,1155,1224,1224,1175,1224,1209,1209,1261,1209,1209,1209,1224,1209,1224,1209,1224,1193,1224,1209,1155,1155,1224,1224,1193,1193,1193,1193,1155,1224,1209,1209,1224,1155,1175,1209,1193,1224,1209,1209,1224,1155,1193,1209,1237,1175,1175,1155,1224,1224,1209,1209,1193,1224,1193,1224,1224,1224,1175,1193,1193,1209,1224,1209,1237,1193,1209,1209,1224,1250,1250,1209,1175,1224,1224,1193,1224,1155,1209,1224,1193,1193,1237,1209,1237,1209,1209,1209,1237,1155,1209,1250,1209,1250,1224,1209,1209,1209,1237,1237,1193,1237,1237,1209,1237,1224,1224,1250,1224,1237,1261,1272,1209,1250,1272,1283,1237,1237,1311,1250,1237,1237,1237,1250,1272,1283,1261,1261,1250,1283,1250,1237,1250,1250,1250,1250,1237,1250,1261,1237,1250,1237,1283,1250,1261,1224,1250,1237,1261,1250,1250,1250,1250,1293,1261,1261,1272,1261,1272,1250,1224,1237,1250,1283,1293,1224,1224,1224,1250,1237,1250,1250,1272,1224,1193,1224,1224,1224,1237,1193,1250,1250,1237,1224,1224,1237,1224,1237,1237,1237,1209,1193,1193,1209,1237,1224,1237,1155,1209,1209
6,1209,1224,1209,1224,1209,1175,1224,1237,1209,1209,1224,1224,1175,1224,1209,1224,1224,1224,1175,1224,1224,1224,1224,1224,1175,1224,1224,1175,1155,1209,1224,1250,1224,1237,1175,1224,1175,1155,1224,1237,1209,1224,1224,1250,1209,1237,1224,1155,1209,1224,1224,1175,1237,1155,1224,1175,1175,1224,1237,1237,1224,1155,1175,1224,1224,1224,1224,1224,1209,1209,1237,1224,1224,1224,1224,1224,1175,1224,1224,1209,1237,1224,1209,1250,1209,1224,1224,1237,1237,1224,1155,1209,1209,1209,1250,1237,1209,1209,1209,1250,1237,1175,1237,1250,1224,1237,1250,1261,1250,1237,1237,1237,1250,1250,1237,1250,1250,1250,1237,1250,1250,1250,1250,1293,1272,1261,1261,1261,1272,1237,1237,1261,1272,1224,1261,1319,1283,1261,1293,1237,1250,1237,1250,1293,1250,1272,1261,1237,1250,1293,1250,1272,1261,1224,1250,1272,1293,1272,1272,1272,1237,1261,1250,1261,1261,1237,1250,1237,1250,1250,1237,1224,1250,1237,1237,1209,1272,1224,1237,1224,1250,1224,1283,1237,1224,1224,1224,1224,1237,1224,1237,1237,1224,1209,1250,1224,1237,1209,1209,1224,1224
7,1224,1224,1193,1224,1209,1155,1155,1224,1237,1209,1237,1224,1175,1193,1193,1224,1250,1224,1155,1250,1209,1155,1224,1175,1250,1175,1224,1209,1224,1175,1237,1224,1237,1224,1250,1175,1224,1224,1237,1224,1224,1224,1155,1224,1175,1209,1175,1224,1209,1237,1175,1224,1224,1224,1237,0,1175,1237,1237,1250,1237,1250,1224,1261,1224,1209,1224,1175,1224,1193,1209,1224,1237,1224,1237,1175,1209,1175,1224,1224,1224,1250,1155,1224,1209,1237,1224,1237,1250,1224,1209,1224,1237,1224,1237,1224,1224,1237,1237,1272,1272,1209,1272,1250,1250,1250,1224,1272,1272,1261,1250,1250,1261,1250,1272,1272,1237,1250,1250,1261,1250,1250,1261,1283,1293,1261,1272,1250,1261,1261,1237,1293,1272,1261,1250,1250,1293,1261,1272,1261,1261,1272,1283,1283,1250,1272,1224,1250,1261,1293,1261,1283,1272,1272,1250,1250,1250,1272,1261,1283,1237,1224,1250,1250,1237,1261,1250,1250,1261,1250,1272,1237,1250,1272,1224,1224,1224,1224,1261,1224,1237,1237,1250,1250,1250,1250,1224,1261,1250,1261,1250,1224,1175,1175,1237,1250,1224,1237,1224,1237,1237
8,1237,1209,1224,1224,1224,1155,1250,1209,1224,1209,1224,1224,1209,1224,1209,1237,1250,1209,1155,1237,1250,1133,1224,1224,1224,1237,1224,1209,1175,1175,1224,1237,1224,1209,1175,1224,1224,1224,1224,1237,1224,1237,1133,1250,1175,1237,1209,1209,1155,1224,1224,1175,1224,1175,1237,1155,1224,1237,1261,1224,1237,1224,1237,1224,1224,1224,1175,1224,1237,1224,1209,1250,1237,1224,1250,1209,1193,1175,1175,1209,1193,1175,1209,1209,1224,1250,1224,1224,1250,1250,1209,1209,1224,1224,1224,1250,1224,1193,1175,1250,1237,1209,1250,1209,1237,1237,1224,1237,1272,1237,1237,1209,1261,1209,1224,1237,1250,1272,1224,1302,1250,1250,1261,1224,1250,1272,1272,1250,1283,1272,1261,1272,1272,1224,1272,1272,1250,1250,1237,1261,1283,1272,1283,1272,1250,1250,1250,1224,1250,1283,1250,1272,1293,1250,1224,1250,1272,1293,1272,1261,1237,1237,1237,1250,1261,1261,1250,1250,1250,1250,1237,1237,1237,1272,1250,1209,1237,1237,1237,1224,1237,1209,1250,1237,1224,1250,1250,1224,1237,1224,1224,1224,1209,1224,1250,1209,1175,1237,1193,1209,1250
9,1209,1209,1175,1175,1224,1133,1224,1237,1237,1224,1209,1224,1175,1224,1175,1224,1193,1224,1224,1224,1237,1133,1224,1209,1209,1224,1224,1133,1175,1193,1261,1224,1237,1237,1224,1175,1224,1209,1175,1237,1237,1224,1250,1237,1224,1250,1237,1224,1209,1250,1224,1224,1224,1224,1209,1224,1175,1224,1224,1224,1175,1250,1175,1224,1155,1209,1224,1193,1224,1209,1224,1209,1237,1224,1250,1224,1155,1175,1175,1237,1224,1224,1175,1224,1224,1261,1237,1237,1250,1224,1175,1175,1175,1250,1237,1155,1237,1224,1224,1283,1261,1224,1237,1261,1272,1250,1237,1250,1272,1261,1272,1237,1224,1250,1250,1272,1272,1250,1261,1250,1237,1293,1302,1283,1250,1293,1272,1272,1283,1261,1237,1302,1293,1250,1272,1283,1272,1261,1250,1293,1261,1261,1272,1293,1272,1283,1272,1250,1224,1250,1272,1237,1272,1250,1250,1272,1272,1293,1250,1250,1224,1237,1261,1250,1272,1272,1224,1250,1250,1250,1250,1250,1272,1250,1237,1224,1224,1209,1224,1250,1224,1224,1250,1237,1237,1224,1250,1237,1237,1237,1237,1237,1224,1224,1224,1209,1175,1237,1175,1237,1224
