,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,1152,1152,1166,1166,1152,1121,1166,1121,1166,1178,1166,1201,1178,1166,1178,1152,1190,1152,1121,1166,1166,1121,1152,1152,1166,1178,1166,1121,1178,1166,1178,1178,1166,1190,1152,1152,1152,1121,1152,1166,1201,1166,1152,1166,1121,1166,1166,1166,1166,1166,1121,1178,1152,1166,1166,1166,1121,1166,1211,1166,1166,1166,1166,1166,1166,1121,1166,1178,1166,1121,1166,1166,1178,1178,1201,1166,1166,1166,1166,1178,1178,1166,1152,1166,1166,1178,1166,1166,1178,1121,1166,1166,1178,1152,1178,1190,1166,1138,1121,1190,1178,1138,1190,1190,1190,1190,1166,1190,1201,1166,1178,1166,1190,1178,1166,1211,1201,1211,1201,1230,1211,1230,1220,1211,1190,1201,1254,1190,1220,1211,1211,1211,1211,1211,1201,1201,1201,1201,1190,1211,1211,1190,1201,1201,1178,1190,1178,1178,1178,1190,1211,1178,1190,1178,1190,1190,1201,1178,1201,1190,1178,1201,1178,1166,1190,1178,1166,1178,1166,1190,1190,1190,1178,1190,1201,1166,1178,1121,1166,1166,1190,1166,1178,1166,1166,1178,1166,1152,1178,1152,1190,1166,1166,1152,1166,1166,1152,1178,1121,1152,1152
1,1152,1152,1166,1152,1166,1121,1138,1138,1152,1152,1166,1190,1166,1103,1138,1152,1152,1152,1152,1166,1178,1081,1166,1178,1152,1138,1166,1152,1103,1138,1190,1166,1138,1166,1138,1152,1201,1166,1152,1152,1166,1166,1152,1152,1138,1178,1152,1166,1152,1190,1138,1178,1166,1152,1152,1138,1166,1166,1178,1152,1138,1166,1178,1178,1121,1152,1166,1138,1166,1166,1103,1166,1152,1166,1190,1166,1121,1138,1121,1166,1190,1138,1138,1166,1178,1166,1178,1166,1201,1152,1103,1103,1152,1178,1190,1166,1152,1178,1103,1178,1178,1103,1166,1178,1166,1190,1138,1178,1201,1166,1201,1178,1190,1166,1178,1190,1220,1166,1166,1190,1190,1201,1220,1190,1220,1220,1190,1230,1201,1220,1166,1230,1201,1190,1190,1211,1201,1230,1190,1190,1211,1178,1166,1190,1166,1178,1190,1166,1166,1178,1211,1190,1201,1178,1166,1190,1211,1178,1190,1190,1190,1138,1201,1178,1190,1178,1166,1166,1190,1166,1178,1166,1230,1201,1211,1166,1152,1166,1152,1166,1152,1178,1178,1166,1178,1166,1166,1166,1178,1152,1166,1152,1121,1166,1166,1138,1138,1178,1103,1152,1166
2,1166,1138,1152,1152,1152,1121,1152,1138,1178,1166,1178,1166,1178,1103,1138,1178,1178,1152,1166,1166,1166,1103,1103,1190,1138,1138,1178,1081,1138,1138,1190,1166,1166,1152,1152,1166,1166,1152,1166,1152,1152,1166,1152,1178,1152,1152,1152,1081,1103,1166,1166,1152,1166,1103,1178,1166,1121,1190,1152,1121,1138,1166,1152,1166,1152,1138,1138,1152,1138,1152,1152,1190,1166,1152,1190,1166,1152,1138,1103,1166,1178,1166,1166,1166,1121,1178,1166,1178,1190,1152,1103,1138,1166,1152,1166,1152,1166,1152,1166,1166,1178,1138,1166,1166,1166,1178,1138,1178,1178,1166,1178,1178,1211,1178,1211,1190,1230,1178,1166,1238,1190,1178,1178,1178,1190,1238,1201,1190,1230,1201,1201,1211,1211,1211,1238,1220,1211,1230,1178,1201,1201,1166,1178,1211,1178,1211,1190,1166,1211,1230,1220,1178,1178,1201,1190,1201,1220,1211,1201,1190,1166,1178,1166,1178,1201,1190,1201,1190,1166,1220,1178,1190,1190,1178,1190,1190,1190,1166,1152,1152,1166,1166,1178,1166,1201,1166,1138,1166,1166,1190,1166,1152,1121,1166,1166,1166,1103,1166,1138,1152,1103
3,1152,1166,1166,1138,1166,1121,1138,1166,1166,1166,1166,1152,1121,1166,1166,1103,1166,1152,1103,1166,1166,1121,1166,1152,1178,1152,1166,1152,1152,1166,1178,1121,1178,1166,1103,1190,1121,1166,1103,1178,1166,1166,1166,1166,1121,1166,1121,1152,1103,1178,1152,1166,1166,1166,1190,1121,1121,1121,1166,1121,1152,1166,1166,1178,1103,1178,1201,1152,1166,1166,1178,1166,1166,1178,1190,1166,1152,1166,1152,1166,1178,1152,1121,1166,1152,1190,1166,1190,1201,1166,1121,1121,1201,1166,1190,1166,1201,1178,1152,1166,1121,1166,1201,1166,1121,1166,1152,1211,1178,1166,1190,1190,1190,1178,1178,1201,1178,1190,1201,1230,1178,1201,1201,1190,1211,1201,1246,1201,1211,1211,1190,1211,1238,1211,1220,1230,1211,1190,1211,1211,1201,1190,1190,1211,1190,1166,1190,1178,1190,1230,1190,1178,1238,1230,1190,1178,1190,1201,1201,1178,1190,1152,1178,1201,1178,1178,1166,1152,1190,1190,1178,1190,1190,1190,1166,1166,1178,1166,1190,1166,1178,1152,1190,1166,1166,1166,1201,1166,1166,1152,1152,1166,1152,1121,1190,1166,1152,1166,1152,1190,1152
4,1152,1152,1152,1152,1166,1103,1103,1166,1166,1190,1166,1152,1166,1166,1138,1166,1166,1152,1138,1152,1152,1103,1152,1178,1138,1138,1138,1152,1138,1166,1178,1166,1178,1138,1166,1166,1152,1103,1152,1178,1121,1152,1121,1166,1103,1152,1138,1166,1121,1178,1166,1166,1178,1152,1178,1103,1152,1152,1166,1166,1152,1166,1103,1178,1138,1138,1178,1166,1138,1138,1152,1178,1166,1152,1166,1178,1138,1103,1103,1166,1166,1152,1103,1138,1166,1152,1152,1152,1178,1166,1166,1103,1152,1166,1152,1138,1138,1166,1103,1201,1166,1138,1166,1166,1152,1178,1166,1178,1190,1138,1178,1152,1190,1178,1178,1190,1211,1190,1138,1201,1166,1190,1190,1211,1201,1211,1190,1190,1220,1178,1190,1211,1211,1190,1220,1211,1211,1211,1201,1201,1178,1190,1201,1220,1166,1211,1190,1166,1220,1190,1211,1166,1201,1166,1190,1178,1230,1190,1190,1201,1138,1166,1211,1190,1178,1190,1152,1190,1190,1190,1166,1178,1178,1152,1178,1166,1166,1166,1211,1166,1190,1152,1190,1190,1178,1166,1152,1166,1166,1166,1178,1138,1103,1166,1152,1152,1166,1178,1138,1103,1230
5,1166,1121,1152,1166,1190,1152,1178,1166,1166,1190,1166,1166,1166,1152,1152,1201,1166,1178,1166,1190,1166,1081,1121,1178,1178,1166,1152,1152,1152,1152,1190,1166,1178,1166,1138,1152,1166,1152,1178,1178,1166,1190,1103,1166,1166,1166,1166,1166,1166,1178,1190,1166,1166,1166,1178,1152,1121,1166,1166,1152,1121,1166,1152,1166,1166,1166,1190,1166,1152,1178,1166,1211,1178,1178,1190,1190,1166,1166,1152,1121,1190,1152,1152,1166,1178,1211,1190,1166,1190,1166,1081,1166,1220,1152,1190,1121,1166,1152,1152,1211,1211,1152,1190,1178,1166,1178,1166,1201,1178,1166,1190,1178,1190,1121,1190,1201,1211,1190,1190,1211,1190,1211,1211,1201,1201,1201,1238,1211,1211,1211,1254,1230,1201,1211,1220,1211,1211,1211,1238,1220,1220,1201,1190,1211,1201,1201,1166,1220,1211,1220,1211,1190,1238,1201,1230,1190,1201,1230,1211,1230,1201,1190,1178,1201,1211,1201,1178,1190,1190,1201,1166,1178,1178,1178,1166,1152,1166,1166,1166,1211,1166,1166,1201,1190,1166,1166,1178,1178,1166,1190,1190,1166,1166,1152,1178,1166,1121,1166,1152,1166,1121
6,1152,1121,1121,1166,1166,1121,1166,1152,1152,1190,1190,1166,1121,1152,1166,1190,1178,1190,1121,1166,1152,1103,1152,1152,1166,1152,1166,1121,1152,1152,1190,1178,1190,1178,1121,1152,1152,1166,1152,1178,1166,1166,1152,1152,1103,1166,1166,1121,1178,1152,1166,1190,1152,1152,1121,1152,1121,1166,1190,1178,1166,1166,1152,1178,1166,1121,1190,1166,1166,1166,1152,1166,1190,1166,1178,1166,1152,1166,1103,1166,1190,1166,1152,1201,1178,1178,1166,1190,1178,1166,1152,1166,1178,1152,1190,1190,1152,1121,1190,1201,1190,1121,1201,1211,1190,1178,1201,1190,1190,1166,1178,1166,1178,1190,1190,1201,1220,1220,1190,1190,1201,1190,1201,1190,1211,1190,1211,1201,1220,1190,1238,1246,1246,1211,1211,1246,1230,1211,1220,1201,1211,1220,1211,1201,1190,1211,1211,1178,1166,1254,1211,1201,1201,1178,1178,1201,1190,1211,1201,1201,1211,1201,1190,1211,1201,1178,1178,1166,1190,1190,1190,1190,1178,1190,1166,1152,1190,1166,1190,1190,1211,1166,1201,1152,1178,1152,1190,1152,1178,1190,1166,1152,1166,1166,1178,1178,1166,1178,1152,1178,1178
7,1166,1152,1166,1166,1166,1103,1121,1152,1178,1152,1166,1166,1178,1152,1152,1166,1178,1166,1152,1190,1166,1121,1152,1166,1201,1152,1178,1121,1121,1103,1190,1178,1166,1166,1121,1166,1190,1166,1166,1166,1166,1152,1103,1166,1166,1166,1166,1166,1152,1178,1121,1166,1178,1152,1178,1103,1152,1166,1166,1178,1178,1166,1178,1178,1178,1166,1178,1166,1152,1152,1178,1166,1201,1166,1178,1178,1152,1166,1166,1178,1166,1178,1121,1178,1152,1190,1166,1178,1178,1178,1121,1152,1178,1178,1178,1178,1166,1166,1166,1201,1190,1166,1201,1166,1166,1190,1178,1190,1201,1190,1178,1190,1201,1178,1190,1190,1211,1190,1190,1211,1190,1211,1190,1211,1190,1220,1230,1190,1230,1220,1201,1262,1211,1211,1262,1201,1262,1230,1230,1211,1211,1190,1246,1220,1201,1211,1190,1190,1178,1211,1230,1220,1201,1211,1166,1201,1211,1211,1190,1190,1166,1201,1201,1178,1201,1211,1178,1201,1190,1190,1246,1190,1211,1201,1166,1178,1190,1178,1190,1178,1190,1190,1201,1190,1190,1190,1166,1190,1190,1190,1178,1166,1166,1166,1178,1178,1178,1178,1166,1152,1166
8,1178,1178,1152,1166,1166,1121,1152,1178,1103,1166,1166,1166,1121,1166,1152,1178,1190,1121,1121,1166,1178,1103,1166,1152,1152,1166,1178,1121,1121,1103,1190,1178,1178,1166,1152,1152,1152,1152,1166,1201,1178,1166,1121,1178,1121,1201,1166,1121,1152,1166,1166,1166,1166,1166,1178,1152,1178,1166,1178,1152,1152,1152,1178,1178,1178,1178,1152,1166,1166,1166,1152,1178,1166,1121,1190,1152,1166,1121,1103,1166,1152,1152,1152,1152,1178,1190,1190,1166,1178,1201,1152,1166,1178,1201,1178,1152,1152,1166,1121,1201,1190,1152,1201,1190,1178,1178,1166,1166,1201,1178,1178,1178,1220,1166,1166,1201,1190,1211,1190,1201,1201,1211,1211,1190,1201,1201,1220,1152,1190,1201,1178,1220,1246,1220,1220,1238,1211,1230,1211,1211,1211,1190,1220,1220,1211,1201,1220,1190,1211,1220,1211,1190,1230,1190,1201,1190,1211,1201,1211,1190,1166,1166,1190,1201,1190,1220,1190,1190,1190,1190,1211,1166,1190,1178,1201,1201,1190,1166,1201,1166,1166,1152,1190,1190,1178,1190,1190,1166,1166,1178,1190,1166,1152,1178,1201,1178,1152,1190,1152,1152,1166
9,1166,1121,1138,1166,1166,1103,1166,1166,1166,1166,1152,1178,1121,1178,1166,1190,1152,1178,1166,1166,1166,1103,1166,1166,1166,1166,1152,1121,1121,1121,1190,1178,1178,1152,1103,1166,1152,1121,1166,1178,1152,1138,1152,1178,1152,1178,1201,1178,1166,1190,1178,1178,1138,1152,1166,1121,1152,1166,1178,1121,1152,1178,1166,1152,1103,1166,1166,1152,1178,1152,1166,1178,1178,1190,1201,1178,1103,1152,1138,1166,1166,1166,1103,1166,1201,1166,1190,1178,1190,1178,1121,1121,1121,1152,1166,1166,1178,1166,1152,1201,1190,1152,1201,1190,1178,1201,1178,1190,1190,1190,1211,1190,1190,1166,1190,1190,1178,1201,1190,1201,1190,1211,1201,1190,1190,1201,1201,1201,1190,1166,1211,1220,1220,1220,1201,1254,1211,1230,1190,1246,1220,1238,1230,1238,1190,1238,1190,1190,1190,1201,1220,1211,1211,1190,1201,1201,1220,1201,1220,1201,1178,1178,1211,1211,1211,1201,1201,1201,1201,1190,1190,1178,1190,1178,1178,1190,1166,1166,1178,1201,1190,1166,1190,1166,1190,1166,1178,1166,1178,1166,1190,1166,1166,1152,1178,1121,1166,1201,1121,1166,1166
