,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,1162,1200,1147,1176,1162,1130,1188,1162,1176,1176,1176,1200,1176,1176,1130,1176,1188,1147,1130,1188,1176,1112,1162,1162,1176,1176,1176,1112,1176,1162,1176,1188,1188,1176,1130,1176,1176,1112,1162,1176,1176,1162,1112,1176,1130,1200,1176,1176,1162,1176,1162,1188,1176,1188,1162,1130,1162,1162,1231,1176,1176,1176,1162,1176,1130,1112,1176,1188,1188,1130,1188,1162,1188,1200,1211,1176,1176,1130,1176,1176,1162,1147,1176,1147,1162,1176,1176,1176,1176,1162,1162,1147,1188,1176,1162,1176,1188,1162,1112,1200,1188,1112,1188,1162,1162,1176,1176,1188,1200,1200,1176,1188,1211,1176,1221,1221,1240,1221,1211,1221,1221,1240,1221,1221,1211,1221,1257,1200,1221,1211,1221,1240,1249,1211,1211,1211,1221,1211,1200,1200,1221,1200,1200,1240,1188,1200,1176,1176,1188,1188,1200,1188,1200,1200,1188,1188,1200,1221,1200,1211,1188,1200,1188,1200,1211,1231,1211,1200,1188,1231,1211,1211,1200,1200,1200,1188,1200,1176,1200,1188,1200,1200,1211,1188,1211,1176,1188,1188,1211,1188,1162,1162,1188,1188,1188,1200,1162,1188,1130,1162,1147
1,1162,1176,1162,1176,1176,1112,1162,1176,1176,1200,1176,1211,1176,1162,1176,1162,1188,1176,1188,1176,1188,1112,1130,1176,1188,1130,1176,1162,1162,1130,1188,1176,1188,1176,1162,1188,1188,1188,1130,1188,1200,1176,1147,1162,1188,1176,1162,1162,1176,1188,1162,1188,1176,1176,1176,1176,1188,1176,1200,1130,1162,1188,1176,1176,1130,1130,1176,1162,1176,1176,1176,1176,1176,1176,1200,1176,1162,1176,1112,1162,1200,1176,1130,1188,1200,1176,1176,1176,1211,1162,1112,1130,1162,1176,1176,1188,1162,1176,1162,1176,1188,1112,1176,1200,1162,1200,1176,1200,1200,1162,1221,1200,1221,1188,1211,1231,1240,1200,1188,1221,1211,1221,1221,1231,1231,1240,1200,1257,1231,1231,1200,1231,1231,1221,1240,1249,1221,1211,1188,1221,1200,1188,1200,1211,1188,1200,1211,1188,1162,1188,1200,1200,1211,1221,1188,1200,1221,1200,1221,1221,1221,1188,1188,1240,1221,1231,1200,1176,1188,1221,1211,1221,1240,1240,1200,1200,1200,1176,1200,1162,1200,1221,1200,1188,1200,1176,1188,1188,1200,1188,1188,1176,1188,1162,1176,1200,1162,1200,1112,1188,1188
2,1176,1112,1162,1162,1176,1090,1176,1147,1188,1176,1176,1162,1176,1176,1162,1188,1188,1188,1162,1188,1188,1112,1130,1176,1162,1147,1176,1147,1162,1130,1211,1176,1200,1147,1130,1176,1200,1162,1176,1147,1176,1176,1162,1176,1112,1188,1162,1112,1130,1162,1188,1188,1162,1130,1176,1130,1176,1176,1188,1162,1147,1162,1162,1200,1176,1176,1162,1162,1147,1147,1162,1188,1188,1176,1200,1188,1162,1162,1090,1188,1176,1176,1176,1200,1176,1200,1176,1176,1188,1162,1130,1112,1176,1162,1176,1176,1200,1176,1176,1188,1176,1162,1162,1176,1188,1200,1162,1211,1211,1200,1211,1221,1211,1200,1221,1221,1221,1200,1188,1249,1211,1221,1221,1200,1221,1211,1221,1200,1240,1211,1200,1240,1200,1200,1249,1221,1221,1211,1221,1211,1240,1188,1200,1221,1188,1188,1200,1162,1200,1231,1188,1188,1200,1221,1200,1200,1240,1231,1211,1221,1188,1188,1188,1221,1221,1221,1200,1200,1200,1221,1200,1211,1211,1176,1200,1176,1188,1188,1188,1188,1188,1200,1200,1176,1231,1200,1162,1176,1162,1188,1176,1188,1162,1162,1176,1188,1162,1188,1130,1147,1130
3,1188,1176,1162,1176,1200,1112,1147,1188,1176,1176,1200,1162,1147,1130,1130,1130,1162,1162,1162,1176,1188,1130,1130,1130,1188,1162,1176,1130,1130,1176,1200,1188,1188,1176,1188,1221,1176,1176,1176,1188,1176,1176,1130,1176,1162,1188,1162,1200,1162,1176,1162,1176,1176,1176,1200,1162,1090,1130,1188,1112,1162,1162,1130,1188,1176,1162,1200,1176,1162,1162,1200,1162,1188,1176,1200,1176,1130,1162,1162,1176,1176,1176,1112,1176,1188,1176,1130,1176,1200,1188,1162,1130,1188,1188,1211,1162,1188,1188,1162,1200,1162,1162,1200,1200,1176,1176,1188,1200,1176,1188,1200,1211,1211,1221,1211,1211,1240,1221,1231,1221,1211,1211,1200,1188,1221,1221,1249,1200,1221,1176,1200,1221,1257,1231,1249,1231,1231,1221,1221,1211,1221,1200,1200,1211,1200,1200,1188,1200,1188,1221,1200,1188,1200,1221,1200,1200,1221,1221,1221,1200,1162,1200,1221,1240,1211,1211,1188,1188,1200,1211,1176,1211,1221,1200,1188,1200,1211,1176,1221,1188,1188,1176,1211,1188,1200,1176,1221,1200,1188,1130,1200,1176,1162,1162,1188,1176,1162,1176,1176,1188,1176
4,1176,1176,1176,1188,1176,1130,1162,1176,1147,1188,1200,1176,1200,1176,1176,1188,1188,1176,1162,1188,1188,1112,1162,1176,1188,1188,1188,1112,1176,1200,1200,1211,1188,1176,1188,1162,1200,1188,1176,1176,1188,1130,1188,1176,1130,1176,1162,1176,1130,1188,1176,1211,1200,1176,1162,1176,1176,1176,1176,1176,1162,1176,1130,1211,1130,1188,1188,1188,1162,1176,1188,1211,1188,1188,1188,1176,1162,1162,1176,1176,1200,1188,1162,1176,1200,1188,1176,1176,1200,1188,1130,1112,1188,1188,1200,1162,1176,1176,1176,1221,1188,1176,1188,1200,1176,1200,1176,1188,1221,1211,1221,1221,1221,1211,1200,1249,1211,1221,1162,1221,1231,1221,1221,1221,1221,1240,1221,1200,1221,1221,1176,1231,1221,1221,1240,1240,1240,1211,1231,1221,1211,1188,1240,1221,1200,1221,1176,1188,1249,1221,1221,1176,1200,1188,1200,1188,1221,1221,1240,1221,1200,1200,1240,1240,1211,1211,1211,1211,1231,1211,1211,1221,1188,1211,1200,1200,1231,1200,1188,1188,1211,1200,1188,1221,1200,1188,1176,1200,1200,1200,1211,1162,1176,1176,1176,1176,1200,1200,1162,1188,1265
5,1147,1162,1147,1176,1162,1130,1162,1188,1147,1188,1176,1176,1147,1112,1176,1176,1162,1176,1147,1188,1176,1112,1147,1176,1162,1176,1130,1162,1130,1147,1188,1176,1176,1176,1130,1130,1162,1162,1162,1162,1130,1176,1147,1188,1188,1188,1162,1130,1112,1176,1188,1162,1130,1130,1162,1112,1147,1176,1176,1130,1147,1162,1162,1162,1176,1162,1176,1176,1147,1147,1188,1200,1188,1162,1200,1176,1130,1176,1112,1176,1162,1130,1200,1162,1200,1200,1176,1176,1176,1176,1112,1147,1188,1147,1188,1162,1147,1130,1112,1162,1200,1112,1188,1188,1188,1162,1188,1211,1211,1176,1188,1221,1240,1176,1200,1231,1231,1200,1176,1240,1200,1200,1200,1211,1200,1200,1221,1188,1200,1200,1240,1211,1200,1231,1188,1231,1221,1200,1221,1200,1221,1176,1240,1221,1211,1211,1188,1147,1188,1257,1200,1200,1211,1200,1221,1211,1211,1211,1188,1211,1200,1240,1188,1200,1231,1221,1188,1200,1211,1211,1188,1176,1211,1211,1188,1188,1188,1162,1176,1176,1130,1176,1200,1221,1188,1188,1176,1176,1188,1188,1188,1147,1130,1147,1176,1176,1130,1188,1147,1188,1188
6,1176,1176,1130,1176,1188,1162,1176,1176,1188,1211,1176,1162,1162,1162,1176,1188,1176,1188,1188,1188,1176,1130,1176,1188,1130,1188,1188,1176,1176,1162,1176,1162,1176,1176,1162,1162,1162,1176,1188,1176,1188,1188,1112,1188,1176,1188,1130,1176,1162,1188,1188,1176,1176,1162,1188,1162,1130,1147,1176,1176,1188,1176,1176,1200,1176,1176,1176,1176,1162,1176,1176,1188,1188,1130,1176,1188,1162,1162,1147,1130,1176,1176,1176,1211,1176,1176,1176,1188,1200,1176,1162,1188,1176,1130,1211,1200,1162,1176,1176,1221,1188,1130,1200,1200,1200,1188,1200,1221,1200,1188,1200,1200,1249,1211,1211,1221,1231,1221,1188,1200,1221,1221,1221,1176,1211,1211,1221,1176,1188,1200,1200,1211,1240,1211,1211,1240,1249,1200,1221,1211,1200,1240,1200,1221,1200,1221,1211,1188,1240,1240,1221,1221,1211,1200,1200,1221,1221,1211,1200,1211,1231,1211,1249,1249,1231,1188,1221,1188,1188,1231,1200,1200,1200,1200,1188,1188,1200,1176,1188,1188,1211,1176,1221,1176,1188,1188,1176,1188,1188,1200,1176,1176,1176,1200,1200,1130,1176,1200,1162,1176,1188
7,1188,1176,1162,1130,1130,1112,1147,1130,1188,1176,1162,1188,1130,1176,1130,1188,1200,1162,1162,1176,1176,1162,1162,1162,1176,1176,1176,1162,1162,1130,1188,1176,1200,1162,1162,1162,1176,1130,1188,1176,1176,1188,1130,1162,1130,1188,1176,1176,1176,1200,1130,1188,1188,1176,1162,1130,1176,1176,1188,1200,1188,1188,1176,1211,1176,1162,1200,1130,1130,1162,1176,1147,1200,1176,1200,1200,1130,1162,1176,1176,1162,1176,1112,1188,1176,1188,1176,1188,1176,1188,1162,1162,1188,1176,1188,1176,1162,1188,1162,1200,1200,1176,1231,1188,1176,1176,1188,1200,1221,1200,1200,1221,1221,1200,1211,1231,1231,1211,1188,1200,1200,1200,1200,1240,1200,1221,1211,1188,1200,1200,1176,1240,1200,1200,1200,1188,1257,1211,1200,1200,1200,1200,1231,1231,1200,1221,1200,1211,1200,1240,1231,1240,1211,1211,1200,1200,1211,1221,1221,1211,1221,1211,1211,1221,1200,1200,1188,1176,1200,1211,1240,1200,1200,1188,1176,1200,1200,1200,1200,1188,1211,1200,1221,1200,1211,1176,1162,1200,1200,1188,1211,1176,1130,1162,1188,1162,1188,1176,1188,1162,1200
8,1176,1176,1162,1162,1188,1176,1162,1200,1162,1147,1188,1176,1176,1188,1130,1176,1188,1162,1112,1188,1200,1112,1176,1112,1176,1162,1176,1162,1112,1130,1200,1188,1200,1176,1130,1130,1147,1162,1162,1188,1176,1176,1162,1211,1130,1176,1130,1162,1130,1162,1162,1188,1162,1176,1176,1130,1176,1176,1176,1130,1176,1162,1162,1211,1200,1176,1130,1176,1176,1188,1176,1176,1176,1162,1188,1162,1130,1130,1112,1176,1162,1112,1162,1162,1176,1176,1188,1162,1188,1200,1162,1162,1176,1162,1188,1162,1130,1162,1162,1188,1188,1130,1188,1188,1176,1188,1176,1200,1231,1200,1211,1200,1211,1176,1211,1211,1211,1221,1200,1221,1200,1211,1240,1211,1200,1211,1211,1188,1221,1188,1188,1211,1188,1188,1200,1200,1221,1200,1211,1188,1211,1188,1221,1249,1231,1200,1200,1188,1200,1240,1221,1211,1240,1221,1211,1211,1221,1211,1257,1221,1221,1200,1221,1221,1200,1200,1200,1200,1211,1221,1188,1188,1211,1188,1200,1188,1162,1176,1200,1176,1176,1176,1200,1211,1200,1200,1188,1162,1188,1162,1188,1188,1130,1188,1200,1188,1162,1188,1147,1188,1200
9,1147,1112,1162,1147,1162,1112,1147,1147,1188,1188,1176,1188,1147,1147,1162,1176,1162,1162,1176,1147,1147,0,1176,1162,1162,1176,1147,1112,1112,1112,1211,1176,1176,1162,1147,1162,1147,1162,1162,1176,1147,1176,1147,1176,1112,1176,1188,1147,1112,1176,1147,1176,1176,1176,1176,1112,1112,1176,1176,1162,1112,1188,1162,1176,1130,1176,1147,1176,1147,1147,1162,1147,1200,1176,1176,1147,1130,1162,1112,1162,1200,1147,1112,1162,1200,1200,1176,1176,1200,1176,1147,1112,1147,1176,1176,1147,1162,1176,1112,1200,1188,1162,1176,1188,1176,1176,1176,1176,1211,1188,1176,1200,1200,1211,1188,1221,1211,1221,1176,1188,1200,1211,1231,1176,1162,1200,1200,1162,1200,1200,1176,1211,1176,1188,1162,1231,1200,1221,1188,1221,1221,1200,1211,1240,1240,1221,1200,1188,1176,1200,1211,1162,1211,1188,1221,1188,1200,1200,1188,1200,1200,1188,1200,1176,1221,1221,1188,1176,1188,1211,1188,1176,1176,1162,1188,1176,1188,1176,1176,1176,1162,1176,1200,1176,1200,1162,1200,1162,1176,1176,1176,1176,1147,1176,1176,1147,1147,1176,1112,1162,1188
