,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,1195,1170,1157,1205,1170,1170,1183,1183,1205,1195,1183,1195,1195,1170,1157,1170,1216,1183,1183,1183,1183,1107,1157,1183,1183,1205,1195,1157,1205,1183,1195,1195,1195,1125,1170,1195,1195,1125,1170,1157,1205,1195,1107,1195,1170,1195,1183,1170,1157,1195,1183,1205,1183,1195,1205,1170,1157,1125,1225,1183,1195,1195,1183,1183,1183,1183,1195,1195,1183,1170,1183,1170,1195,1216,1195,1195,1183,1170,1195,1195,1183,1170,1183,1157,1157,1195,1157,1195,1183,1170,1157,1195,1170,1195,1195,1195,1205,1183,1107,1195,1205,1107,1216,1170,1183,1205,1205,1216,1234,1216,1216,1195,1205,1183,1195,1205,1205,1243,1195,1216,1225,1234,1216,1216,1195,1243,1234,1205,1234,1205,1195,1234,1243,1225,1205,1243,1225,1225,1183,1195,1234,1205,1205,1225,1170,1195,1205,1195,1195,1195,1243,1205,1234,1195,1216,1216,1216,1205,1205,1234,1205,1216,1195,1195,1216,1195,1205,1195,1225,1216,1195,1216,1195,1205,1205,1195,1216,1125,1183,1183,1195,1205,1183,1195,1195,1205,1205,1195,1216,1183,1195,1205,1157,1205,1195,1195,1170,1195,1170,1157,1157
1,1170,1205,1183,1170,1170,1157,1195,1183,1195,1183,1205,1195,1195,1125,1170,1195,1195,1170,1205,1195,1183,1107,1170,1195,1183,1183,1195,1170,1170,1170,1216,1183,1183,1195,1170,1195,1195,1183,1195,1216,1195,1195,1183,1183,1183,1170,1183,1157,1183,1216,1183,1216,1195,1183,1183,1170,1195,1205,1216,1170,1157,1205,1170,1205,1125,1157,1170,1183,1205,1157,1195,1205,1183,1170,1170,1195,1170,1170,1183,1195,1205,1195,1157,1195,1195,1205,1183,1170,1205,1195,1157,1170,1195,1195,1195,1205,1195,1183,1183,1195,1205,1157,1216,1234,1195,1225,1216,1225,1205,1170,1243,1216,1216,1195,1216,1225,1225,1216,1205,1216,1216,1225,1251,1225,1251,1225,1225,1243,1205,1216,1195,1216,1225,1205,1195,1216,1216,1216,1195,1216,1216,1205,1205,1205,1216,1216,1216,1216,1205,1205,1216,1205,1234,1195,1195,1216,1195,1216,1216,1225,1251,1195,1195,1225,1234,1205,1216,1195,1225,1205,1216,1195,1234,1225,1216,1195,1195,1195,1205,1195,1183,1195,1216,1183,1225,1195,1195,1195,1195,1205,1195,1183,1183,1170,1195,1195,1183,1205,1125,1183,1183
2,1183,1170,1183,1170,1216,1107,1195,1183,1216,1170,1183,1195,1183,1183,1170,1205,1183,1195,1170,1205,1216,1125,1170,1216,1170,1170,1195,1170,1157,1170,1205,1195,1205,1183,1170,1195,1216,1170,1125,1195,1170,1205,1157,1195,1183,1216,1183,1170,1157,1183,1195,1205,1205,1170,1183,1170,1183,1225,1183,1205,1170,1205,1205,1183,1195,1195,1170,1183,1183,1195,1195,1183,1216,1183,1216,1205,1183,1170,1170,1195,1195,1195,1195,1225,1195,1225,1195,1205,1216,1205,1107,1157,1205,1195,1205,1170,1195,1195,1195,1183,1195,1170,1195,1195,1216,1205,1195,1205,1225,1183,1205,1234,1195,1234,1234,1216,1234,1205,1205,1251,1195,1216,1205,1195,1216,1205,1216,1225,1251,1205,1205,1216,1216,1195,1243,1205,1225,1234,1243,1216,1216,1195,1216,1205,1216,1216,1195,1170,1225,1243,1234,1195,1216,1225,1205,1216,1234,1205,1216,1205,1183,1183,1195,1216,1234,1195,1225,1205,1205,1234,1195,1216,1205,1205,1205,1205,1225,1195,1195,1183,1195,1195,1225,1170,1225,1216,1216,1205,1183,1216,1216,1205,1205,1183,1225,1195,1170,1205,1125,1157,1195
3,1170,1125,1170,1170,1195,1170,1157,1216,1183,1183,1205,1170,1183,1170,1170,1125,1183,1170,1170,1195,1205,1170,1170,1183,1216,1195,1195,1125,1183,1170,1225,1183,1195,1195,1157,1205,1183,1170,1195,1183,1170,1183,1183,1205,1195,1216,1170,1205,1125,1183,1170,1183,1216,1195,1216,1183,1170,1195,1195,1170,1170,1183,1195,1170,1170,1170,1216,1183,1195,1195,1225,1183,1205,1195,1205,1195,1183,1195,1195,1205,1225,1183,1125,1170,1170,1195,1183,1205,1216,1205,1183,1125,1216,1205,1195,1183,1205,1195,1157,1195,1170,1195,1216,1195,1195,1205,1216,1195,1216,1195,1225,1205,1205,1216,1234,1205,1195,1195,1216,1243,1205,1225,1234,1205,1234,1216,1251,1205,1225,1195,1195,1205,1259,1183,1216,1216,1216,1216,1234,1216,1195,1195,1225,1243,1216,1205,1205,1195,1234,1225,1205,1216,1205,1234,1216,1225,1225,1205,1205,1195,1205,1183,1216,1234,1216,1216,1183,1225,1216,1205,1216,1205,1251,1205,1234,1205,1195,1170,1216,1195,1216,1195,1205,1205,1195,1195,1216,1195,1195,1183,1195,1170,1183,1183,1205,1195,1195,1195,1183,1205,1170
4,1195,1195,1170,1170,1183,1107,1170,1183,1170,1205,1183,1170,1205,1205,1170,1170,1195,1157,1157,1205,1183,1157,1170,1183,1170,1195,1195,1183,1157,1195,1170,1205,1205,1170,1195,1195,1170,1170,1170,1205,1195,1195,1170,1170,1170,1183,1170,1216,1170,1195,1195,1195,1205,1170,1195,1170,1195,1170,1170,1157,1170,1195,1107,1195,1107,1195,1205,1195,1183,1183,1170,1225,1195,1205,1195,1157,1170,1157,1183,1157,1183,1205,1170,1170,1170,1195,1195,1195,1216,1195,1195,1157,1216,1183,1195,1170,1170,1195,1157,1234,1183,1170,1216,1205,1205,1205,1183,1183,1216,1183,1216,1205,1234,1216,1216,1234,1234,1225,1195,1216,1216,1243,1267,1225,1216,1234,1216,1225,1251,1183,1195,1216,1225,1195,1216,1234,1243,1216,1216,1195,1195,1216,1216,1243,1225,1225,1205,1183,1205,1225,1243,1170,1205,1195,1216,1195,1234,1216,1251,1243,1170,1195,1225,1234,1205,1225,1157,1216,1216,1234,1195,1216,1195,1205,1205,1205,1205,1195,1225,1195,1216,1183,1216,1205,1195,1183,1157,1183,1195,1205,1216,1157,1183,1195,1157,1183,1205,1205,1170,1170,1251
5,1157,1183,1170,1195,1195,1170,1157,1195,1205,1195,1195,1195,1157,1183,1195,1195,1183,1216,1183,1195,1195,1125,1170,1205,1195,1125,1170,1157,1157,1170,1216,1183,1183,1195,1157,1157,1183,1183,1183,1195,1170,1195,1170,1183,1183,1205,1170,1170,1125,1170,1183,1195,1183,1170,1195,1170,1183,1183,1195,1157,1170,1170,1195,1170,1183,1195,1157,1170,1195,1183,1195,1225,1170,1157,1216,1195,1170,1170,1125,1183,1205,1170,1195,1170,1195,1234,1157,1170,1195,1183,1170,1125,1216,1157,1216,1170,1170,1170,1183,1216,1243,1157,1216,1195,1183,1205,1195,1225,1234,1195,1216,1234,1225,1205,1216,1216,1234,1251,1205,1234,1205,1225,1216,1216,1225,1243,1251,1234,1216,1205,1234,1234,1216,1225,1216,1251,1234,1195,1216,1216,1225,1195,1216,1225,1225,1225,1183,1183,1205,1251,1205,1216,1195,1205,1251,1225,1216,1216,1243,1251,1195,1195,1195,1234,1234,1234,1205,1183,1205,1225,1183,1216,1225,1216,1195,1183,1205,1170,1195,1205,1170,1205,1205,1205,1183,1170,1183,1195,1205,1225,1195,1183,1195,1157,1170,1216,1125,1195,1170,1183,1170
6,1195,1205,1170,1205,1195,1183,1195,1195,1195,1216,1195,1183,1183,1195,1170,1170,1183,1183,1183,1195,1183,1170,1183,1195,1205,1170,1170,1195,1157,1170,1195,1205,1195,1205,1183,1195,1183,1195,1205,1205,1170,1183,1170,1195,1170,1195,1157,1125,1205,1183,1195,1195,1183,1107,1195,1170,1183,1183,1195,1216,1195,1170,1183,1195,1170,1195,1195,1195,1170,1170,1183,1195,1195,1183,1205,1183,1170,1195,1157,1157,1216,1183,1170,1216,1183,1183,1170,1216,1195,1195,1125,1205,1183,1183,1205,1195,1195,1157,1195,1251,1195,1170,1225,1225,1205,1225,1234,1195,1225,1205,1216,1195,1234,1234,1216,1195,1205,1259,1216,1225,1216,1251,1234,1234,1216,1243,1234,1216,1216,1216,1234,1234,1234,1195,1234,1251,1274,1205,1234,1216,1216,1234,1234,1225,1195,1251,1216,1205,1205,1243,1216,1216,1216,1195,1195,1225,1216,1243,1216,1216,1234,1225,1216,1243,1225,1195,1225,1205,1216,1225,1183,1195,1216,1216,1195,1170,1234,1205,1195,1205,1225,1183,1234,1216,1205,1195,1205,1183,1195,1205,1216,1183,1205,1195,1225,1183,1195,1195,1170,1183,1170
7,1216,1183,1183,1183,1183,1125,1170,1170,1205,1170,1183,1216,1170,1170,1170,1195,1205,1183,1183,1234,1183,1125,1170,1205,1205,1183,1183,1205,1170,1170,1205,1170,1183,1195,1205,1183,1183,1195,1195,1205,1205,1183,1125,1170,1125,1195,1170,1195,1195,1216,1183,1157,1183,1195,1195,1125,1195,1195,1216,1216,1195,1183,1205,1234,1183,1205,1195,1183,1170,1170,1216,1183,1195,1195,1195,1205,1157,1142,1125,1216,1216,1216,1125,1195,1183,1216,1195,1205,1216,1225,1125,1195,1170,1216,1216,1195,1183,1205,1205,1225,1216,1195,1234,1216,1195,1225,1195,1251,1243,1216,1234,1243,1205,1225,1234,1259,1216,1225,1234,1234,1216,1225,1205,1225,1225,1243,1243,1216,1251,1216,1216,1259,1225,1225,1251,1225,1251,1216,1216,1216,1216,1234,1243,1243,1225,1225,1205,1205,1216,1225,1234,1234,1225,1216,1225,1205,1225,1234,1216,1234,1205,1205,1251,1205,1216,1205,1170,1216,1183,1216,1225,1216,1225,1234,1183,1216,1205,1216,1216,1183,1205,1225,1225,1195,1216,1195,1195,1205,1205,1216,1225,1195,1183,1183,1183,1157,1183,1183,1205,1195,1205
8,1195,1216,1183,1183,1170,1157,1216,1205,1183,1183,1205,1195,1195,1195,1170,1195,1205,1170,1125,1205,1195,1107,1170,1170,1183,1183,1205,1157,1125,1125,1205,1216,1195,1183,1170,1183,1183,1183,1183,1216,1205,1195,1170,1216,1170,1205,1170,1195,1170,1205,1183,1183,1183,1183,1205,1157,1205,1183,1216,1205,1205,1195,1205,1216,1205,1205,1170,1170,1205,1195,1183,1195,1195,1170,1205,1195,1183,1157,1157,1195,1195,1157,1183,1195,1170,1195,1205,1195,1205,1225,1195,1205,1205,1205,1195,1183,1170,1183,1183,1225,1216,1157,1225,1205,1205,1205,1205,1216,1234,1205,1216,1195,1274,1195,1216,1216,1216,1243,1205,1234,1205,1216,1234,1195,1234,1216,1225,1205,1216,1216,1234,1216,1234,1225,1234,1234,1225,1216,1216,1216,1216,1225,1216,1216,1216,1195,1216,1205,1225,1251,1216,1216,1251,1225,1195,1195,1251,1216,1234,1216,1205,1225,1234,1216,1225,1225,1225,1195,1216,1234,1205,1205,1216,1234,1216,1195,1195,1195,1225,1205,1195,1183,1205,1205,1195,1216,1216,1216,1195,1195,1195,1195,1183,1205,1225,1170,1195,1205,1195,1195,1205
9,1170,1157,1170,1157,1157,1107,1183,1170,1195,1205,1157,1195,1125,1183,1157,1195,1157,1170,1195,1183,1183,0,1183,1170,1183,1183,1170,1157,1107,1125,1195,1195,1195,1170,1125,1157,1183,1170,1170,1195,1170,1157,1195,1195,1183,1205,1205,1170,1170,1195,1183,1205,1170,1170,1170,1157,1157,1183,1205,1195,1125,1195,1195,1216,1170,1170,1183,1170,1183,1183,1195,1195,1183,1195,1195,1170,1170,1170,1183,1205,1170,1157,1157,1183,1195,1205,1195,1183,1225,1157,1183,1157,1157,1170,1195,1157,1195,1205,1170,1205,1216,1195,1195,1243,1216,1216,1216,1216,1216,1205,1225,1216,1205,1225,1243,1234,1234,1234,1234,1216,1216,1251,1267,1225,1205,1234,1216,1216,1225,1205,1195,1243,1259,1234,1195,1251,1216,1259,1216,1234,1259,1234,1251,1251,1234,1216,1195,1216,1205,1183,1205,1183,1225,1225,1195,1183,1225,1216,1205,1216,1205,1205,1205,1205,1225,1234,1216,1195,1205,1205,1195,1183,1216,1183,1195,1195,1183,1183,1216,1183,1205,1195,1225,1195,1205,1183,1170,1183,1183,1205,1195,1195,1216,1170,1195,1195,1183,1205,1170,1195,1205
